timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681032491332,310,Strona główna,200,OK,Stress test 1-1,text,true,,409258,250,7,7,https://policzona-szama.pl/,184,0,128
1681032491332,184,Strona główna-0,301,Moved Permanently,Stress test 1-1,text,true,,1467,127,7,7,https://www.policzona-szama.pl/,184,0,128
1681032491516,126,Strona główna-1,200,OK,Stress test 1-1,text,true,,407791,123,7,7,https://policzona-szama.pl/,82,0,31
1681032493004,210,Strona główna,200,OK,Stress test 1-2,text,true,,409250,250,9,9,https://policzona-szama.pl/,83,0,26
1681032493004,83,Strona główna-0,301,Moved Permanently,Stress test 1-2,text,true,,1471,127,9,9,https://www.policzona-szama.pl/,83,0,26
1681032493087,127,Strona główna-1,200,OK,Stress test 1-2,text,true,,407779,123,9,9,https://policzona-szama.pl/,82,0,28
1681032494645,205,Strona główna,200,OK,Stress test 1-5,text,true,,409242,250,11,11,https://policzona-szama.pl/,78,0,25
1681032494645,78,Strona główna-0,301,Moved Permanently,Stress test 1-5,text,true,,1467,127,11,11,https://www.policzona-szama.pl/,78,0,25
1681032494723,127,Strona główna-1,200,OK,Stress test 1-5,text,true,,407775,123,11,11,https://policzona-szama.pl/,83,0,25
1681032495674,218,Strona główna,200,OK,Stress test 1-6,text,true,,409242,250,12,12,https://policzona-szama.pl/,91,0,26
1681032495674,91,Strona główna-0,301,Moved Permanently,Stress test 1-6,text,true,,1463,127,12,12,https://www.policzona-szama.pl/,91,0,26
1681032495765,127,Strona główna-1,200,OK,Stress test 1-6,text,true,,407779,123,12,12,https://policzona-szama.pl/,85,0,28
1681032495693,211,Strona główna,200,OK,Stress test 1-3,text,true,,409257,250,12,12,https://policzona-szama.pl/,74,0,27
1681032495693,74,Strona główna-0,301,Moved Permanently,Stress test 1-3,text,true,,1473,127,12,12,https://www.policzona-szama.pl/,74,0,27
1681032495767,137,Strona główna-1,200,OK,Stress test 1-3,text,true,,407784,123,12,12,https://policzona-szama.pl/,97,0,26
1681032496838,206,Strona główna,200,OK,Stress test 1-4,text,true,,409249,250,13,13,https://policzona-szama.pl/,77,0,26
1681032496838,77,Strona główna-0,301,Moved Permanently,Stress test 1-4,text,true,,1467,127,13,13,https://www.policzona-szama.pl/,77,0,26
1681032496915,129,Strona główna-1,200,OK,Stress test 1-4,text,true,,407782,123,13,13,https://policzona-szama.pl/,86,0,29
1681032498256,208,Strona główna,200,OK,Stress test 1-9,text,true,,409252,250,15,15,https://policzona-szama.pl/,78,0,28
1681032498256,78,Strona główna-0,301,Moved Permanently,Stress test 1-9,text,true,,1465,127,15,15,https://www.policzona-szama.pl/,78,0,28
1681032498334,130,Strona główna-1,200,OK,Stress test 1-9,text,true,,407787,123,15,15,https://policzona-szama.pl/,92,0,28
1681032498385,207,Strona główna,200,OK,Stress test 1-8,text,true,,409244,250,15,15,https://policzona-szama.pl/,77,0,24
